request_id,timestamp,ttft_ms,tpot_ms,total_latency_ms,tokens_in,tokens_out,error
0,1776365699.488383,46.973466873168945,11.150000142116173,2890.223503112793,173,256,
1,1776365699.4885936,46.92506790161133,11.151931800094305,2890.667676925659,74,256,
2,1776365699.4886754,46.909332275390625,11.153870002896179,2891.146183013916,119,256,
3,1776365699.4887278,42.67740249633789,11.161066504085765,2888.749361038208,83,256,
4,1776365699.4887764,46.6153621673584,11.151590534285003,2890.270948410034,65,256,
5,1776365699.4888828,46.730995178222656,11.154988232780905,2891.2529945373535,47,256,
6,1776365699.4889324,46.621084213256836,11.15267977995031,2890.554428100586,137,256,
7,1776365699.488985,46.26822471618652,11.14965513640759,2889.430284500122,38,256,
8,1776365702.378169,32.9592227935791,11.15722375757554,2878.051280975342,56,256,
9,1776365702.3803313,30.821561813354492,11.159963233798157,2876.6121864318848,182,256,
10,1776365702.380417,30.824899673461914,11.161550821042528,2877.0203590393066,20,256,
11,1776365702.380483,30.779600143432617,11.16194257549211,2877.074956893921,137,256,
12,1776365702.3805435,30.735492706298828,11.163240320542279,2877.36177444458,38,256,
13,1776365702.380606,30.687570571899414,11.163761101517023,2877.4466514587402,137,256,
14,1776365702.380665,30.64274787902832,11.16500461802763,2877.718925476074,47,256,
15,1776365702.3807228,32.74273872375488,11.20108882273276,2877.819299697876,38,255,
16,1776365705.2567422,33.803701400756836,11.177530475691253,2884.0739727020264,65,256,
17,1776365705.2587004,31.94284439086914,11.18014466528799,2882.8797340393066,20,256,
18,1776365705.2587805,31.88347816467285,11.180597193100873,2882.9357624053955,146,256,
19,1776365705.2588453,31.834840774536133,11.182062298643823,2883.260726928711,146,256,
20,1776365705.2589054,31.791210174560547,11.18336845846737,2883.5501670837402,38,256,
21,1776365705.2589648,31.747102737426758,11.183877084769454,2883.6357593536377,128,256,
22,1776365705.2590234,31.704187393188477,11.185018689024682,2883.8839530944824,182,256,
23,1776365705.2590818,33.643245697021484,11.178827285766602,2884.244203567505,173,256,
24,1776365708.1413667,27.327299118041992,11.184297823438458,2879.3232440948486,83,256,
25,1776365708.1437368,24.980783462524414,11.187368280747357,2877.7596950531006,137,256,
26,1776365708.1438208,24.981021881103516,11.188549153945026,2878.061056137085,119,256,
27,1776365708.143886,24.935483932495117,11.459368778519842,2878.3183097839355,92,250,
28,1776365708.1439455,24.89161491394043,11.177655924921451,1310.3220462799072,119,116,
29,1776365708.1440032,24.847984313964844,11.190658457138959,2878.4658908843994,65,256,
30,1776365708.1440587,24.806737899780273,11.191379322725183,2878.608465194702,47,256,
31,1776365708.144115,24.764299392700195,11.191936567717908,2878.7081241607666,83,256,
32,1776365709.454862,33.529043197631836,11.254663093417298,2903.468132019043,74,256,
33,1776365711.021282,34.709930419921875,11.269300124224495,2908.381462097168,128,256,
34,1776365711.023067,33.01644325256348,11.272640789256377,2907.5398445129395,146,256,
35,1776365711.0231464,32.95755386352539,11.274149838615866,2907.8657627105713,74,256,
36,1776365711.0232155,32.90367126464844,11.275015625299192,2908.0326557159424,146,256,
37,1776365711.0232759,32.858848571777344,11.308535933494568,575.6685733795166,182,49,
38,1776365711.0233347,32.81450271606445,11.276410607730641,2908.299207687378,155,256,
39,1776365711.0233934,32.77015686035156,11.277923396989411,2908.6406230926514,164,256,
40,1776365711.599486,33.94627571105957,11.320371253817688,2920.6409454345703,164,256,
41,1776365712.358979,33.73861312866211,11.368834242528798,1704.9572467803955,128,148,
42,1776365713.9303763,34.635305404663086,11.251108319151635,2903.66792678833,11,256,
43,1776365713.9324458,32.65190124511719,11.25321107752183,2902.2207260131836,164,256,
44,1776365713.9325356,32.58347511291504,11.255110946356082,2902.636766433716,29,256,
