timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776365907.0538228,0,53.0,73675.875,81920.0,121.86,1410
1776365907.1743553,0,53.0,73675.875,81920.0,120.055,1410
1776365907.2746093,0,40.0,73675.875,81920.0,362.639,1410
1776365907.3747082,0,40.0,73675.875,81920.0,372.984,1410
1776365907.4748304,0,100.0,73675.875,81920.0,376.25,1410
1776365907.5749989,0,100.0,73675.875,81920.0,377.716,1410
1776365907.6751022,0,100.0,73675.875,81920.0,380.233,1410
1776365907.7751908,0,100.0,73675.875,81920.0,378.643,1410
1776365907.8752916,0,100.0,73675.875,81920.0,381.98,1410
1776365907.9753861,0,100.0,73675.875,81920.0,379.245,1410
1776365908.0763688,0,100.0,73675.875,81920.0,383.177,1410
1776365908.1794894,0,100.0,73675.875,81920.0,380.511,1410
1776365908.2795897,0,100.0,73675.875,81920.0,382.511,1410
1776365908.3796864,0,100.0,73675.875,81920.0,378.643,1410
1776365908.479777,0,100.0,73675.875,81920.0,380.982,1410
1776365908.579874,0,100.0,73675.875,81920.0,379.515,1410
1776365908.6799672,0,100.0,73675.875,81920.0,383.448,1410
1776365908.7800705,0,100.0,73675.875,81920.0,378.711,1410
1776365908.8801613,0,100.0,73675.875,81920.0,381.106,1410
1776365908.9802516,0,100.0,73675.875,81920.0,379.839,1410
1776365909.0803525,0,100.0,73675.875,81920.0,380.982,1410
1776365909.1804776,0,100.0,73675.875,81920.0,380.388,1410
1776365909.2805676,0,99.0,73675.875,81920.0,380.511,1410
1776365909.380661,0,99.0,73675.875,81920.0,381.584,1410
1776365909.4807582,0,100.0,73675.875,81920.0,380.712,1410
1776365909.580865,0,100.0,73675.875,81920.0,380.712,1410
1776365909.6809874,0,100.0,73675.875,81920.0,382.511,1410
1776365909.7811043,0,100.0,73675.875,81920.0,381.377,1410
1776365909.8811953,0,100.0,73675.875,81920.0,382.179,1410
1776365909.9813087,0,100.0,73675.875,81920.0,384.375,1410
1776365910.0814023,0,100.0,73675.875,81920.0,347.273,1410
1776365910.1814973,0,100.0,73675.875,81920.0,375.377,1410
1776365910.2816153,0,98.0,73675.875,81920.0,380.117,1410
1776365910.3817725,0,98.0,73675.875,81920.0,382.114,1410
1776365910.8943458,0,98.0,73675.875,81920.0,382.114,1410
1776365911.3423223,0,100.0,73675.875,81920.0,381.584,1410
1776365911.442473,0,100.0,73675.875,81920.0,304.885,1410
1776365911.5459802,0,97.0,73675.875,81920.0,378.319,1410
1776365911.6489215,0,100.0,73675.875,81920.0,379.839,1410
1776365911.7508063,0,100.0,73675.875,81920.0,380.388,1410
1776365911.8508968,0,100.0,73675.875,81920.0,380.782,1410
1776365911.9509904,0,100.0,73675.875,81920.0,381.584,1410
