timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776365366.9185848,0,100.0,70777.0625,81920.0,344.496,1410
1776365367.025727,0,97.0,70777.0625,81920.0,132.256,1410
1776365367.125946,0,97.0,70777.0625,81920.0,421.244,1380
1776365367.2263255,0,39.0,70777.0625,81920.0,378.602,1365
1776365367.3267748,0,39.0,70777.0625,81920.0,381.724,1395
1776365367.4269583,0,100.0,70777.0625,81920.0,401.531,1410
1776365367.5271835,0,100.0,70777.0625,81920.0,404.313,1410
1776365367.6274207,0,100.0,70777.0625,81920.0,383.889,1395
1776365367.7276363,0,100.0,70777.0625,81920.0,410.21,1410
1776365367.8278491,0,100.0,70777.0625,81920.0,408.985,1410
1776365367.928065,0,100.0,70777.0625,81920.0,389.454,1410
1776365368.028936,0,100.0,70777.0625,81920.0,387.897,1395
1776365368.1291454,0,100.0,70777.0625,81920.0,399.026,1395
1776365368.2293482,0,100.0,70777.0625,81920.0,410.21,1395
1776365368.3295453,0,100.0,70777.0625,81920.0,387.897,1395
1776365368.4297616,0,100.0,70777.0625,81920.0,385.731,1395
1776365368.5300162,0,100.0,70777.0625,81920.0,395.635,1395
1776365368.6302307,0,100.0,70777.0625,81920.0,409.601,1410
1776365368.7304409,0,100.0,70777.0625,81920.0,388.229,1395
1776365368.830654,0,100.0,70777.0625,81920.0,404.922,1395
1776365368.9308696,0,100.0,70777.0625,81920.0,408.044,1410
1776365369.0311267,0,100.0,70777.0625,81920.0,399.697,1395
1776365369.1313403,0,100.0,70777.0625,81920.0,399.026,1395
1776365369.2315574,0,100.0,70777.0625,81920.0,394.078,1395
1776365369.3317735,0,100.0,70777.0625,81920.0,393.461,1395
1776365369.431994,0,100.0,70777.0625,81920.0,394.41,1395
1776365369.5322099,0,100.0,70777.0625,81920.0,391.295,1395
1776365369.632396,0,100.0,70777.0625,81920.0,400.583,1395
1776365369.7325613,0,100.0,70777.0625,81920.0,395.018,1395
1776365369.8329484,0,100.0,70777.0625,81920.0,402.756,1395
1776365369.9332032,0,100.0,70777.0625,81920.0,395.967,1395
1776365370.0334265,0,100.0,70777.0625,81920.0,401.863,1395
1776365370.1336408,0,100.0,70777.0625,81920.0,398.132,1395
1776365370.2338722,0,100.0,70777.0625,81920.0,399.697,1395
1776365370.3341453,0,100.0,70777.0625,81920.0,396.575,1395
1776365370.4343603,0,100.0,70777.0625,81920.0,403.088,1395
1776365370.534781,0,100.0,70777.0625,81920.0,393.184,1395
1776365370.6349995,0,100.0,70777.0625,81920.0,402.48,1395
1776365370.7352057,0,100.0,70777.0625,81920.0,391.011,1395
1776365370.835417,0,100.0,70777.0625,81920.0,399.026,1395
1776365370.9360838,0,100.0,70777.0625,81920.0,402.48,1395
1776365371.0362945,0,100.0,70777.0625,81920.0,393.461,1395
1776365371.1365097,0,100.0,70777.0625,81920.0,404.922,1395
1776365371.2373838,0,100.0,70777.0625,81920.0,392.236,1395
1776365371.3375928,0,100.0,70777.0625,81920.0,399.974,1395
1776365371.4378028,0,100.0,70777.0625,81920.0,406.479,1395
1776365371.538799,0,100.0,70777.0625,81920.0,400.306,1395
1776365371.6390257,0,100.0,70777.0625,81920.0,395.967,1380
1776365371.739229,0,100.0,70777.0625,81920.0,400.583,1380
1776365371.8394604,0,100.0,70777.0625,81920.0,356.905,1395
1776365371.9397182,0,100.0,70777.0625,81920.0,411.435,1350
1776365372.0399287,0,100.0,70777.0625,81920.0,387.288,1395
1776365372.1401114,0,100.0,70777.0625,81920.0,404.645,1410
1776365372.2403262,0,100.0,70777.0625,81920.0,378.886,1395
1776365372.3405414,0,100.0,70777.0625,81920.0,399.974,1410
1776365372.440809,0,100.0,70777.0625,81920.0,399.697,1410
1776365372.541026,0,100.0,70777.0625,81920.0,405.538,1410
1776365372.6412413,0,100.0,70777.0625,81920.0,410.21,1410
1776365372.7417886,0,100.0,70777.0625,81920.0,384.506,1395
1776365372.8420215,0,100.0,70777.0625,81920.0,384.506,1395
1776365372.9422386,0,100.0,70777.0625,81920.0,395.35,1395
1776365373.0429933,0,100.0,70777.0625,81920.0,390.07,1395
1776365373.1431801,0,100.0,70777.0625,81920.0,401.199,1395
1776365373.2434094,0,100.0,70777.0625,81920.0,385.391,1395
1776365373.343622,0,100.0,70777.0625,81920.0,396.86,1395
1776365373.4438314,0,100.0,70777.0625,81920.0,391.295,1395
