tenant,request_id,submit_time,ttft_ms,total_latency_ms,tokens_out,http_status,is_oom,error
chat,585,1776634031.6673193,96.21834754943848,1960.8995914459229,64,200,False,
chat,884,1776634090.8055103,108.54721069335938,1961.686611175537,61,200,False,
chat,379,1776633983.8665679,110.72850227355957,1930.2644729614258,59,200,False,
chat,0,1776633909.1377053,477.6346683502197,4009.5324516296387,64,200,False,
chat,376,1776633983.3965647,116.36638641357422,1933.2656860351562,63,200,False,
chat,380,1776633983.8826387,66.25676155090332,1913.980484008789,64,200,False,
chat,826,1776634077.2663503,85.36124229431152,1967.519760131836,64,200,False,
chat,1294,1776634174.6507,32.46665000915527,754.4684410095215,61,200,False,
chat,1291,1776634174.1413937,32.05585479736328,748.6958503723145,64,200,False,
chat,2,1776633909.199957,417.53125190734863,3960.9720706939697,63,200,False,
chat,167,1776633941.6537929,82.85140991210938,1920.7711219787598,64,200,False,
chat,843,1776634079.749307,89.4627571105957,1932.3019981384277,62,200,False,
chat,350,1776633977.4199882,85.3872299194336,1938.995361328125,62,200,False,
chat,383,1776633984.1694329,80.84869384765625,1923.6445426940918,62,200,False,
chat,384,1776633984.412606,72.39246368408203,1914.4198894500732,59,200,False,
chat,99,1776633929.7824898,36.49783134460449,753.3400058746338,63,200,False,
chat,1285,1776634172.4985394,35.97211837768555,753.7963390350342,63,200,False,
chat,168,1776633941.8194568,66.46108627319336,1901.1387825012207,64,200,False,
chat,907,1776634095.0301626,112.63298988342285,1922.6799011230469,56,200,False,
chat,57,1776633919.320017,116.37639999389648,1815.1445388793945,59,200,False,
chat,34,1776633914.4838755,33.273935317993164,754.11057472229,64,200,False,
chat,831,1776634077.9081502,73.27532768249512,1959.676742553711,64,200,False,
chat,981,1776634112.3793945,71.9907283782959,1899.7297286987305,64,200,False,
chat,36,1776633914.597017,46.78940773010254,754.3299198150635,53,200,False,
chat,1151,1776634147.8320565,95.62945365905762,1953.9873600006104,64,200,False,
chat,3,1776633909.468809,148.8819122314453,3691.037178039551,61,200,False,
chat,987,1776634113.6035888,75.4084587097168,1909.8920822143555,64,200,False,
chat,39,1776633915.349817,34.82627868652344,748.1057643890381,64,200,False,
chat,824,1776634076.9310365,94.84624862670898,1962.6471996307373,64,200,False,
chat,31,1776633914.1052136,32.126426696777344,756.122350692749,64,200,False,
chat,8,1776633909.7754455,2672.6107597351074,3557.4448108673096,60,200,False,
chat,849,1776634081.2910967,73.16970825195312,1910.212516784668,64,200,False,
chat,4,1776633909.4888213,128.45611572265625,3671.477794647217,64,200,False,
chat,55,1776633919.0721357,34.20400619506836,1639.880657196045,64,200,False,
chat,920,1776634098.1373284,87.31722831726074,1942.6689147949219,64,200,False,
chat,169,1776633941.8359044,78.27186584472656,1916.7242050170898,64,200,False,
chat,1287,1776634172.7517273,46.62680625915527,749.3655681610107,59,200,False,
chat,1290,1776634174.118243,32.47809410095215,749.0501403808594,64,200,False,
chat,1289,1776634173.4430277,46.42343521118164,730.5703163146973,52,200,False,
chat,5,1776633909.4959202,121.87433242797852,3664.665460586548,64,200,False,
chat,880,1776634090.1460164,117.66219139099121,1956.648349761963,63,200,False,
chat,64,1776633921.1278365,98.51717948913574,1875.032663345337,57,200,False,
chat,885,1776634090.9966238,92.03767776489258,1968.3725833892822,64,200,False,
chat,7,1776633909.730503,2717.468500137329,3589.0443325042725,60,200,False,
chat,385,1776633984.4274778,147.15051651000977,1930.063009262085,60,200,False,
chat,50,1776633918.1156166,20.757675170898438,728.0752658843994,64,200,False,
chat,100,1776633930.0902612,35.75015068054199,751.6968250274658,64,200,False,
chat,601,1776634034.1333408,90.75617790222168,1938.6084079742432,60,200,False,
chat,882,1776634090.6818447,73.06146621704102,1955.8062553405762,64,200,False,
chat,6,1776633909.5458798,71.74110412597656,3613.8296127319336,60,200,False,
chat,101,1776633930.13326,38.16866874694824,753.9417743682861,64,200,False,
chat,909,1776634095.2530594,68.92728805541992,1900.7093906402588,64,200,False,
chat,1298,1776634175.1213562,31.508922576904297,755.9294700622559,64,200,False,
chat,232,1776633954.2061362,82.72767066955566,1922.4262237548828,64,200,False,
chat,56,1776633919.1691232,71.2122917175293,1796.942949295044,64,200,False,
chat,54,1776633918.889695,34.152984619140625,1368.9095973968506,64,200,False,
chat,841,1776634079.4861774,82.27705955505371,1929.3849468231201,64,200,False,
chat,498,1776634010.2714744,72.74007797241211,1877.6111602783203,64,200,False,
chat,982,1776634112.6140165,71.3050365447998,1888.744592666626,64,200,False,
chat,789,1776634070.5390959,119.86947059631348,1943.1397914886475,58,200,False,
chat,881,1776634090.231035,124.69696998596191,1967.703104019165,58,200,False,
chat,244,1776633956.1782687,103.08051109313965,1925.0051975250244,59,200,False,
chat,22,1776633912.6127877,147.13311195373535,911.0615253448486,64,200,False,
chat,9,1776633909.884964,2563.2753372192383,3449.5689868927,64,200,False,
chat,883,1776634090.7402372,109.56716537475586,1964.1244411468506,57,200,False,
chat,23,1776633912.7854195,37.058353424072266,795.1459884643555,64,200,False,
chat,28,1776633913.7786973,39.314985275268555,750.4947185516357,63,200,False,
chat,918,1776634097.8598716,73.43101501464844,1906.747579574585,64,200,False,
chat,1293,1776634174.476687,46.63896560668945,756.4125061035156,59,200,False,
chat,32,1776633914.2937977,49.81207847595215,761.7385387420654,62,200,False,
chat,839,1776634079.1652076,163.9230251312256,1965.2197360992432,59,200,False,
chat,170,1776633941.9946194,128.80396842956543,1933.0906867980957,58,200,False,
chat,902,1776634093.1543605,113.85154724121094,1930.7482242584229,57,200,False,
chat,45,1776633916.501948,35.15028953552246,753.7908554077148,64,200,False,
chat,674,1776634045.6082528,97.84817695617676,2008.2662105560303,64,200,False,
chat,46,1776633916.5595188,35.67075729370117,752.7880668640137,58,200,False,
chat,104,1776633930.8599093,38.31934928894043,753.6468505859375,64,200,False,
chat,983,1776634112.690468,113.46960067749023,1901.8967151641846,58,200,False,
chat,33,1776633914.4474783,45.51839828491211,756.6933631896973,63,200,False,
chat,672,1776634045.5100954,125.07271766662598,2008.7766647338867,62,200,False,
chat,852,1776634082.6973906,112.29586601257324,1904.158353805542,63,200,False,
chat,377,1776633983.5935903,88.5477066040039,1916.031837463379,62,200,False,
chat,708,1776634051.5911944,74.20897483825684,1909.6038341522217,64,200,False,
chat,886,1776634091.1364667,74.71203804016113,1951.5433311462402,64,200,False,
chat,984,1776634112.8558612,122.42460250854492,1908.97536277771,63,200,False,
chat,279,1776633963.0969186,118.95203590393066,1973.6387729644775,63,200,False,
chat,10,1776633910.0635588,2384.083032608032,3270.7815170288086,64,200,False,
chat,246,1776633956.5689752,96.94480895996094,1951.6432285308838,64,200,False,
chat,48,1776633916.8272526,44.23642158508301,744.2395687103271,60,200,False,
chat,833,1776634078.0157177,91.39108657836914,1969.9132442474365,64,200,False,
chat,41,1776633915.9014683,38.156986236572266,1026.667833328247,60,200,False,
chat,604,1776634034.6093256,91.60637855529785,1935.9934329986572,63,200,False,
chat,897,1776634092.4742951,112.36429214477539,1937.5269412994385,58,200,False,
chat,11,1776633910.350275,2097.158908843994,2984.53950881958,64,200,False,
chat,245,1776633956.2965024,80.37924766540527,1924.5870113372803,63,200,False,
chat,840,1776634079.392931,115.03386497497559,1935.7914924621582,59,200,False,
chat,1295,1776634174.7016351,38.4213924407959,761.603593826294,61,200,False,
chat,52,1776633918.5413816,28.86199951171875,895.1902389526367,64,200,False,
chat,49,1776633916.9296367,33.32185745239258,741.2497997283936,63,200,False,
chat,664,1776634044.7877142,94.83647346496582,2052.3672103881836,64,200,False,
chat,848,1776634081.0467024,108.26563835144043,1913.2792949676514,63,200,False,
chat,44,1776633916.4710047,30.90953826904297,750.2884864807129,64,200,False,
chat,598,1776634033.5861769,75.85501670837402,1930.757999420166,64,200,False,
chat,847,1776634081.0198326,110.43787002563477,1908.4272384643555,59,200,False,
chat,12,1776633910.5909643,1869.363784790039,2743.695020675659,60,200,False,
chat,1062,1776634130.4302077,92.62275695800781,1949.8157501220703,64,200,False,
chat,1076,1776634132.6837108,72.68309593200684,1928.7378787994385,64,200,False,
chat,1286,1776634172.7149003,35.59994697570801,752.1586418151855,62,200,False,
chat,214,1776633950.6825764,129.6083927154541,1936.851978302002,59,200,False,
chat,908,1776634095.1967757,125.1521110534668,1925.6865978240967,58,200,False,
chat,13,1776633910.6565619,1790.99440574646,2676.2001514434814,63,200,False,
chat,666,1776634044.8309891,79.69069480895996,2050.1253604888916,58,200,False,
chat,38,1776633915.020769,34.71970558166504,750.4706382751465,64,200,False,
chat,593,1776634032.9681118,108.25181007385254,1937.800645828247,62,200,False,
chat,79,1776633925.066848,109.14278030395508,1325.0138759613037,59,200,False,
chat,172,1776633942.2824872,79.91480827331543,1904.6368598937988,64,200,False,
chat,745,1776634060.050695,101.3646125793457,1899.4808197021484,63,200,False,
chat,836,1776634079.012757,94.65265274047852,1955.1277160644531,64,200,False,
chat,1288,1776634172.7617357,36.75198554992676,750.3368854522705,64,200,False,
chat,37,1776633914.9679184,30.019760131835938,746.6721534729004,64,200,False,
chat,607,1776634035.005738,84.94400978088379,1922.8675365447998,63,200,False,
chat,913,1776634095.8158777,95.52979469299316,1913.651943206787,64,200,False,
chat,991,1776634114.723649,76.04813575744629,1935.0810050964355,64,200,False,
chat,150,1776633938.944888,92.4842357635498,2029.9718379974365,61,200,False,
chat,497,1776634010.0362365,75.83498954772949,1885.7204914093018,64,200,False,
chat,14,1776633911.2878797,1160.114049911499,2045.1641082763672,63,200,False,
chat,594,1776634032.9824247,117.28477478027344,1954.944133758545,58,200,False,
chat,42,1776633916.3207254,123.60858917236328,844.2473411560059,58,200,False,
chat,53,1776633918.5753841,41.32652282714844,896.8684673309326,62,200,False,
chat,15,1776633911.3096342,1138.209581375122,2024.0874290466309,64,200,False,
chat,919,1776634097.9987545,111.31978034973145,1913.2709503173828,60,200,False,
chat,51,1776633918.258834,31.35228157043457,744.4252967834473,64,200,False,
chat,236,1776633955.1256573,116.76907539367676,1946.0442066192627,63,200,False,
chat,595,1776634033.1789134,72.23844528198242,1940.891981124878,59,200,False,
chat,837,1776634079.0677385,110.3215217590332,1959.7949981689453,63,200,False,
chat,997,1776634115.3681667,94.00606155395508,1951.5984058380127,64,200,False,
chat,40,1776633915.4125404,29.79421615600586,1010.3516578674316,64,200,False,
chat,838,1776634079.1579158,75.80709457397461,1936.4347457885742,63,200,False,
chat,35,1776633914.547273,39.57843780517578,758.5763931274414,61,200,False,
chat,67,1776633922.3943307,91.43710136413574,1877.2592544555664,62,200,False,
chat,16,1776633911.3310657,1129.3883323669434,2002.1347999572754,59,200,False,
chat,844,1776634079.959187,119.6279525756836,1922.952651977539,61,200,False,
chat,1297,1776634175.0362215,47.68228530883789,761.2946033477783,63,200,False,
chat,25,1776633913.0928087,42.02628135681152,771.1467742919922,64,200,False,
chat,827,1776634077.303495,83.24527740478516,1965.4653072357178,64,200,False,
chat,1111,1776634139.3906674,151.5803337097168,1931.872844696045,62,200,False,
chat,27,1776633913.5760252,26.863813400268555,744.0485954284668,64,200,False,
chat,109,1776633931.6315129,50.889015197753906,760.8397006988525,62,200,False,
chat,599,1776634033.7280817,86.1063003540039,1936.0346794128418,64,200,False,
chat,17,1776633911.516642,930.4361343383789,1816.9174194335938,64,200,False,
chat,707,1776634051.5000525,79.94723320007324,1906.3618183135986,63,200,False,
chat,43,1776633916.3694317,74.96333122253418,795.7491874694824,64,200,False,
chat,887,1776634091.3163767,71.75874710083008,1951.9262313842773,61,200,False,
chat,24,1776633912.7959788,51.28931999206543,795.6433296203613,63,200,False,
chat,842,1776634079.6571681,87.76521682739258,1933.910608291626,61,200,False,
chat,105,1776633931.0837908,29.770612716674805,747.2214698791504,64,200,False,
chat,600,1776634033.749102,96.08244895935059,1949.8522281646729,64,200,False,
chat,1299,1776634175.2541792,35.63213348388672,761.784553527832,64,200,False,
chat,47,1776633916.71456,42.21677780151367,746.0932731628418,60,200,False,
chat,178,1776633944.2945335,96.48275375366211,1886.8927955627441,62,200,False,
chat,1145,1776634146.3597212,87.13221549987793,1913.445234298706,60,200,False,
chat,30,1776633913.862536,46.849966049194336,758.6731910705566,57,200,False,
chat,111,1776633931.8668025,32.08112716674805,752.5625228881836,64,200,False,
chat,18,1776633911.7794707,680.3648471832275,1554.5682907104492,60,200,False,
chat,26,1776633913.4802427,32.13310241699219,748.6109733581543,64,200,False,
chat,608,1776634035.6209536,78.23324203491211,1906.3854217529297,64,200,False,
chat,986,1776634113.1503365,88.1650447845459,1924.6487617492676,64,200,False,
chat,222,1776633951.8316834,76.34186744689941,1922.4743843078613,63,200,False,
chat,225,1776633952.274936,111.15050315856934,1914.4620895385742,62,200,False,
chat,793,1776634071.2871976,76.09939575195312,1912.1766090393066,64,200,False,
chat,503,1776634012.3853862,87.81623840332031,1911.8797779083252,61,200,False,
chat,639,1776634040.615402,81.0542106628418,1997.9827404022217,64,200,False,
chat,669,1776634045.0305703,101.25350952148438,2049.3669509887695,61,200,False,
chat,782,1776634069.4827142,85.89768409729004,1938.0097389221191,64,200,False,
chat,1206,1776634158.9339738,87.96167373657227,1923.2373237609863,63,200,False,
chat,58,1776633919.7154036,76.02238655090332,1881.2100887298584,64,200,False,
chat,205,1776633948.8241715,111.65833473205566,1957.0989608764648,63,200,False,
chat,1198,1776634156.3721068,118.44897270202637,1921.3223457336426,59,200,False,
chat,19,1776633911.8072603,640.505313873291,1526.6306400299072,64,200,False,
chat,691,1776634048.0982797,86.16328239440918,1973.5963344573975,64,200,False,
chat,783,1776634069.6830869,120.49603462219238,1944.896936416626,59,200,False,
chat,206,1776633948.9157457,82.54122734069824,1948.183298110962,64,200,False,
chat,933,1776634099.987333,92.76962280273438,1998.1534481048584,64,200,False,
chat,1118,1776634141.0902553,116.98651313781738,1934.4062805175781,60,200,False,
chat,1319,1776634178.2493422,38.388967514038086,755.3815841674805,64,200,False,
chat,271,1776633961.8148997,74.25117492675781,1936.3579750061035,64,200,False,
chat,551,1776634024.0700555,90.29650688171387,1918.921947479248,64,200,False,
chat,701,1776634049.3309839,87.63432502746582,1928.673505783081,64,200,False,
chat,798,1776634072.0188415,79.5738697052002,1912.6307964324951,62,200,False,
chat,1329,1776634179.2328641,31.6164493560791,749.2411136627197,64,200,False,
chat,216,1776633950.9795825,68.6953067779541,1935.0924491882324,64,200,False,
chat,785,1776634069.8088453,84.09738540649414,1939.178466796875,64,200,False,
chat,20,1776633911.8238003,623.1727600097656,1508.7096691131592,63,200,False,
chat,662,1776634044.6144266,112.25533485412598,2022.2227573394775,59,200,False,
chat,970,1776634107.8024046,100.46505928039551,1918.1196689605713,59,200,False,
chat,1240,1776634164.2960086,98.541259765625,2019.575595855713,64,200,False,
chat,70,1776633923.0468864,73.44317436218262,1890.913486480713,64,200,False,
chat,944,1776634101.6560075,123.07500839233398,1931.2376976013184,60,200,False,
chat,1321,1776634178.430726,49.628257751464844,754.3821334838867,62,200,False,
chat,21,1776633912.1787417,281.4180850982666,1155.444622039795,57,200,False,
chat,671,1776634045.2343032,92.50307083129883,2022.0143795013428,61,200,False,
chat,787,1776634070.1699913,83.01639556884766,1927.844524383545,63,200,False,
chat,1150,1776634147.6665561,78.8431167602539,1927.1659851074219,64,200,False,
chat,1338,1776634180.600915,35.92848777770996,758.7597370147705,61,200,False,
chat,626,1776634038.9002502,85.46066284179688,1958.0011367797852,60,200,False,
chat,957,1776634105.1943457,108.30092430114746,1936.7873668670654,58,200,False,
chat,1303,1776634175.5962665,39.85404968261719,763.4339332580566,63,200,False,
chat,1317,1776634177.718422,33.93697738647461,750.8294582366943,64,200,False,
chat,266,1776633960.9884605,83.02927017211914,1916.5191650390625,64,200,False,
chat,673,1776634045.5915098,114.48287963867188,1994.1887855529785,62,200,False,
chat,128,1776633934.3808568,102.45990753173828,4621.512174606323,60,200,False,
chat,1213,1776634159.910681,77.93426513671875,1908.109426498413,64,200,False,
chat,1236,1776634163.8664184,83.29248428344727,2011.6701126098633,60,200,False,
chat,1308,1776634176.220733,35.19725799560547,755.9518814086914,64,200,False,
chat,952,1776634103.990053,74.51105117797852,1886.0807418823242,60,200,False,
chat,1318,1776634177.8193905,49.175262451171875,752.0184516906738,58,200,False,
chat,1310,1776634176.4359248,38.770198822021484,754.5638084411621,64,200,False,
chat,59,1776633919.9438853,80.51705360412598,1878.976583480835,64,200,False,
chat,1093,1776634136.5407398,112.93959617614746,1965.508222579956,63,200,False,
chat,1128,1776634142.6353092,87.40496635437012,1935.5251789093018,64,200,False,
chat,1326,1776634178.7990746,36.4537239074707,752.9747486114502,64,200,False,
chat,68,1776633922.7632444,95.64566612243652,1911.128282546997,61,200,False,
chat,1322,1776634178.477656,36.99135780334473,752.8839111328125,64,200,False,
chat,771,1776634067.4199495,77.98457145690918,1906.5086841583252,64,200,False,
chat,1094,1776634136.605736,83.17017555236816,1961.26127243042,64,200,False,
chat,1312,1776634177.113106,31.722307205200195,755.1801204681396,59,200,False,
chat,69,1776633922.9519892,75.71983337402344,1903.8245677947998,64,200,False,
chat,515,1776634014.7131655,88.83237838745117,1909.9504947662354,63,200,False,
chat,1232,1776634163.536881,82.17215538024902,1999.779462814331,64,200,False,
chat,750,1776634062.089959,93.40929985046387,1913.8984680175781,64,200,False,
chat,1333,1776634180.0329485,40.92001914978027,764.3067836761475,64,200,False,
chat,1296,1776634174.801458,31.51392936706543,753.5903453826904,58,200,False,
chat,1185,1776634153.6465075,86.35377883911133,1946.845531463623,64,200,False,
chat,1307,1776634176.2095141,46.33665084838867,755.7468414306641,58,200,False,
chat,1323,1776634178.6503143,47.22404479980469,752.708911895752,59,200,False,
chat,1335,1776634180.1819782,41.033267974853516,764.8594379425049,62,200,False,
chat,926,1776634099.1056273,82.88097381591797,1981.574296951294,64,200,False,
chat,65,1776633921.842449,69.69022750854492,1879.561424255371,63,200,False,
chat,553,1776634024.5346808,93.01280975341797,1925.1716136932373,63,200,False,
chat,1214,1776634159.9643018,84.20944213867188,1909.8680019378662,64,200,False,
chat,1340,1776634180.8323827,34.58857536315918,756.542444229126,61,200,False,
