2026/04/19 16:38:13.694, 15867 MiB, 81920 MiB, 0 %, 119.73 W
2026/04/19 16:38:14.741, 68237 MiB, 81920 MiB, 20 %, 144.40 W
2026/04/19 16:38:15.768, 68239 MiB, 81920 MiB, 1 %, 116.51 W
2026/04/19 16:38:16.848, 68243 MiB, 81920 MiB, 1 %, 85.36 W
2026/04/19 16:38:17.877, 68321 MiB, 81920 MiB, 1 %, 85.97 W
2026/04/19 16:38:18.907, 68385 MiB, 81920 MiB, 13 %, 190.49 W
2026/04/19 16:38:19.937, 68393 MiB, 81920 MiB, 5 %, 213.69 W
2026/04/19 16:38:20.963, 68399 MiB, 81920 MiB, 0 %, 226.83 W
2026/04/19 16:38:21.992, 68407 MiB, 81920 MiB, 2 %, 86.48 W
2026/04/19 16:38:23.022, 68383 MiB, 81920 MiB, 21 %, 87.44 W
2026/04/19 16:38:24.054, 68391 MiB, 81920 MiB, 24 %, 85.55 W
2026/04/19 16:38:25.084, 68399 MiB, 81920 MiB, 24 %, 85.64 W
2026/04/19 16:38:26.117, 68409 MiB, 81920 MiB, 18 %, 85.55 W
2026/04/19 16:38:27.143, 68425 MiB, 81920 MiB, 17 %, 86.15 W
2026/04/19 16:38:28.172, 68433 MiB, 81920 MiB, 0 %, 210.20 W
2026/04/19 16:38:29.199, 68443 MiB, 81920 MiB, 9 %, 86.76 W
2026/04/19 16:38:30.226, 68449 MiB, 81920 MiB, 15 %, 85.64 W
2026/04/19 16:38:31.253, 68457 MiB, 81920 MiB, 12 %, 85.36 W
2026/04/19 16:38:32.280, 68465 MiB, 81920 MiB, 2 %, 86.24 W
2026/04/19 16:38:33.306, 68477 MiB, 81920 MiB, 0 %, 143.20 W
2026/04/19 16:38:34.333, 68485 MiB, 81920 MiB, 0 %, 86.24 W
2026/04/19 16:38:35.360, 68489 MiB, 81920 MiB, 0 %, 85.88 W
2026/04/19 16:38:36.388, 68489 MiB, 81920 MiB, 0 %, 84.95 W
2026/04/19 16:38:37.414, 68489 MiB, 81920 MiB, 0 %, 84.95 W
2026/04/19 16:38:38.441, 68489 MiB, 81920 MiB, 0 %, 85.04 W
2026/04/19 16:38:39.468, 68489 MiB, 81920 MiB, 0 %, 85.04 W
2026/04/19 16:38:40.497, 68489 MiB, 81920 MiB, 0 %, 85.04 W
2026/04/19 16:38:41.523, 68489 MiB, 81920 MiB, 0 %, 85.04 W
2026/04/19 16:38:42.550, 68489 MiB, 81920 MiB, 0 %, 84.95 W
2026/04/19 16:38:43.580, 68489 MiB, 81920 MiB, 0 %, 84.95 W
2026/04/19 16:38:44.607, 68627 MiB, 81920 MiB, 86 %, 304.00 W
2026/04/19 16:38:45.637, 68891 MiB, 81920 MiB, 87 %, 274.93 W
2026/04/19 16:38:46.668, 69227 MiB, 81920 MiB, 82 %, 308.15 W
2026/04/19 16:38:47.702, 69227 MiB, 81920 MiB, 86 %, 277.00 W
2026/04/19 16:38:48.731, 69227 MiB, 81920 MiB, 88 %, 279.39 W
2026/04/19 16:38:49.759, 69227 MiB, 81920 MiB, 84 %, 276.41 W
2026/04/19 16:38:50.787, 69227 MiB, 81920 MiB, 87 %, 307.00 W
2026/04/19 16:38:51.816, 69229 MiB, 81920 MiB, 87 %, 310.83 W
2026/04/19 16:38:52.843, 69229 MiB, 81920 MiB, 88 %, 316.77 W
2026/04/19 16:38:53.872, 69229 MiB, 81920 MiB, 86 %, 309.35 W
2026/04/19 16:38:54.905, 69229 MiB, 81920 MiB, 85 %, 317.30 W
2026/04/19 16:38:55.936, 69229 MiB, 81920 MiB, 86 %, 286.49 W
2026/04/19 16:38:56.964, 69229 MiB, 81920 MiB, 86 %, 311.42 W
2026/04/19 16:38:57.992, 69229 MiB, 81920 MiB, 86 %, 314.69 W
2026/04/19 16:38:59.025, 69229 MiB, 81920 MiB, 87 %, 294.18 W
2026/04/19 16:39:00.061, 69229 MiB, 81920 MiB, 88 %, 297.78 W
2026/04/19 16:39:01.093, 69229 MiB, 81920 MiB, 88 %, 317.09 W
2026/04/19 16:39:02.130, 69229 MiB, 81920 MiB, 88 %, 304.01 W
2026/04/19 16:39:03.159, 69229 MiB, 81920 MiB, 87 %, 284.10 W
2026/04/19 16:39:04.187, 69229 MiB, 81920 MiB, 87 %, 303.13 W
2026/04/19 16:39:05.215, 69229 MiB, 81920 MiB, 88 %, 294.79 W
2026/04/19 16:39:06.248, 69229 MiB, 81920 MiB, 85 %, 294.51 W
2026/04/19 16:39:07.276, 69229 MiB, 81920 MiB, 87 %, 297.78 W
2026/04/19 16:39:08.306, 69229 MiB, 81920 MiB, 86 %, 324.18 W
2026/04/19 16:39:09.334, 69229 MiB, 81920 MiB, 87 %, 308.74 W
2026/04/19 16:39:10.363, 69229 MiB, 81920 MiB, 89 %, 307.56 W
2026/04/19 16:39:11.391, 69229 MiB, 81920 MiB, 86 %, 299.53 W
2026/04/19 16:39:12.418, 69229 MiB, 81920 MiB, 87 %, 293.04 W
2026/04/19 16:39:13.447, 69229 MiB, 81920 MiB, 87 %, 309.90 W
2026/04/19 16:39:14.476, 69229 MiB, 81920 MiB, 88 %, 311.69 W
