timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776364756.982808,0,100.0,70952.875,81559.0,440.159,1980
1776364757.0890882,0,100.0,70952.875,81559.0,408.736,1980
1776364757.189224,0,14.0,70952.875,81559.0,396.666,1980
1776364757.28933,0,14.0,70952.875,81559.0,406.554,1980
1776364757.389435,0,100.0,70952.875,81559.0,417.035,1980
1776364757.48957,0,100.0,70952.875,81559.0,429.599,1980
1776364757.5907502,0,100.0,70952.875,81559.0,442.543,1980
1776364757.6909466,0,100.0,70952.875,81559.0,455.778,1980
1776364757.7916422,0,100.0,70952.875,81559.0,469.905,1980
1776364757.892168,0,100.0,70952.875,81559.0,484.437,1980
1776364757.993104,0,100.0,70952.875,81559.0,513.599,1980
1776364758.0932384,0,100.0,70952.875,81559.0,559.307,1980
1776364758.1933768,0,100.0,70952.875,81559.0,584.99,1980
1776364758.2936375,0,100.0,70952.875,81559.0,589.661,1980
1776364758.3937836,0,100.0,70952.875,81559.0,593.914,1980
1776364758.4939685,0,100.0,70952.875,81559.0,595.263,1980
1776364758.5946457,0,100.0,70952.875,81559.0,596.421,1980
1776364758.6955402,0,100.0,70952.875,81559.0,597.464,1980
1776364758.7957091,0,100.0,70952.875,81559.0,598.39,1980
1776364758.896681,0,100.0,70952.875,81559.0,598.961,1980
1776364758.9970138,0,100.0,70952.875,81559.0,600.912,1980
1776364759.0971649,0,100.0,70952.875,81559.0,601.353,1980
1776364759.1973217,0,100.0,70952.875,81559.0,593.972,1980
1776364759.2976997,0,100.0,70952.875,81559.0,573.93,1980
1776364759.3978674,0,83.0,70952.875,81559.0,566.684,1980
1776364759.4980667,0,83.0,70952.875,81559.0,560.012,1980
1776364759.598448,0,95.0,70952.875,81559.0,558.814,1980
1776364759.7016785,0,95.0,70952.875,81559.0,556.958,1980
1776364759.801943,0,100.0,70952.875,81559.0,555.63,1980
1776364759.9030716,0,100.0,70952.875,81559.0,555.731,1980
1776364760.0034225,0,100.0,70952.875,81559.0,552.794,1980
1776364760.103655,0,100.0,70952.875,81559.0,552.694,1980
1776364760.2041767,0,100.0,70952.875,81559.0,554.371,1980
1776364760.3044298,0,100.0,70952.875,81559.0,576.336,1980
1776364760.4045222,0,100.0,70952.875,81559.0,587.117,1980
1776364760.5046082,0,100.0,70952.875,81559.0,592.476,1980
1776364760.6047122,0,100.0,70952.875,81559.0,595.36,1980
1776364760.7048242,0,100.0,70952.875,81559.0,597.104,1980
1776364760.8049314,0,100.0,70952.875,81559.0,597.208,1980
1776364760.9050553,0,100.0,70952.875,81559.0,599.031,1980
1776364761.0051427,0,100.0,70952.875,81559.0,598.971,1980
1776364761.1052291,0,100.0,70952.875,81559.0,600.653,1980
1776364761.2053375,0,100.0,70952.875,81559.0,600.607,1980
1776364761.3054311,0,100.0,70952.875,81559.0,599.042,1980
1776364761.4055166,0,93.0,70952.875,81559.0,593.272,1980
1776364761.5056698,0,93.0,70952.875,81559.0,592.525,1980
1776364761.6057782,0,100.0,70952.875,81559.0,589.134,1980
1776364761.706267,0,100.0,70952.875,81559.0,587.763,1980
1776364761.8064961,0,100.0,70952.875,81559.0,586.576,1980
1776364761.9067051,0,100.0,70952.875,81559.0,586.115,1980
1776364762.0068936,0,100.0,70952.875,81559.0,583.947,1980
1776364762.1076493,0,100.0,70952.875,81559.0,583.122,1980
1776364762.2077775,0,100.0,70952.875,81559.0,582.493,1980
1776364762.308112,0,100.0,70952.875,81559.0,584.364,1980
1776364762.4083395,0,100.0,70952.875,81559.0,588.738,1980
1776364762.5086694,0,100.0,70952.875,81559.0,591.261,1980
1776364762.6105404,0,100.0,70952.875,81559.0,594.157,1980
1776364762.7111018,0,100.0,70952.875,81559.0,595.658,1980
1776364762.8116663,0,100.0,70952.875,81559.0,596.249,1980
1776364762.9119883,0,100.0,70952.875,81559.0,597.305,1980
1776364763.012235,0,100.0,70952.875,81559.0,599.113,1980
1776364763.1125314,0,100.0,70952.875,81559.0,600.201,1980
1776364763.212667,0,100.0,70952.875,81559.0,602.308,1980
1776364763.312937,0,100.0,70952.875,81559.0,604.156,1980
1776364763.4132245,0,95.0,70952.875,81559.0,599.903,1980
1776364763.513382,0,95.0,70952.875,81559.0,586.543,1980
1776364763.6135063,0,100.0,70952.875,81559.0,572.257,1980
1776364763.71363,0,100.0,70952.875,81559.0,558.149,1980
1776364763.8137536,0,100.0,70952.875,81559.0,544.667,1980
1776364763.9140522,0,100.0,70952.875,81559.0,530.119,1980
1776364764.0143893,0,100.0,70952.875,81559.0,513.271,1980
1776364764.1145139,0,100.0,70952.875,81559.0,498.404,1980
1776364764.2146358,0,100.0,70952.875,81559.0,485.572,1980
1776364764.3154488,0,100.0,70952.875,81559.0,469.618,1980
1776364764.4155674,0,100.0,70952.875,81559.0,458.743,1980
1776364764.5156891,0,100.0,70952.875,81559.0,456.645,1980
1776364764.615806,0,100.0,70952.875,81559.0,456.555,1980
1776364764.7159343,0,100.0,70952.875,81559.0,456.228,1980
1776364764.816056,0,100.0,70952.875,81559.0,457.208,1980
1776364764.9161813,0,100.0,70952.875,81559.0,458.192,1980
