timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776363954.9101007,0,0.0,70946.875,81559.0,117.553,1980
1776363955.0165331,0,0.0,70946.875,81559.0,117.568,1980
1776363955.1166523,0,0.0,70946.875,81559.0,117.499,1980
1776363955.2167625,0,0.0,70946.875,81559.0,117.562,1980
1776363955.3168805,0,0.0,70950.875,81559.0,121.369,1980
1776363955.4170702,0,0.0,70950.875,81559.0,121.735,1980
1776363955.5172284,0,2.0,70950.875,81559.0,121.688,1980
1776363955.6173832,0,2.0,70950.875,81559.0,121.621,1980
1776363955.7175472,0,3.0,70950.875,81559.0,147.013,1980
1776363955.817663,0,3.0,70950.875,81559.0,178.046,1980
1776363955.9177516,0,100.0,70950.875,81559.0,207.312,1980
1776363956.0178397,0,100.0,70950.875,81559.0,237.429,1980
1776363956.1179292,0,100.0,70950.875,81559.0,268.004,1980
1776363956.2180176,0,100.0,70950.875,81559.0,298.567,1980
1776363956.3181062,0,100.0,70950.875,81559.0,329.145,1980
1776363956.4181952,0,100.0,70950.875,81559.0,359.629,1980
1776363956.5182824,0,100.0,70950.875,81559.0,390.484,1980
1776363956.6183808,0,100.0,70950.875,81559.0,421.489,1980
1776363956.7185001,0,100.0,70950.875,81559.0,426.334,1980
1776363956.8187006,0,100.0,70950.875,81559.0,427.005,1980
1776363956.9188063,0,100.0,70950.875,81559.0,427.366,1980
1776363957.0189028,0,100.0,70950.875,81559.0,427.535,1980
1776363957.1190171,0,100.0,70950.875,81559.0,427.768,1980
1776363957.2191067,0,100.0,70950.875,81559.0,427.893,1980
1776363957.319578,0,100.0,70950.875,81559.0,428.368,1980
1776363957.4221187,0,100.0,70950.875,81559.0,400.205,1980
1776363957.715747,0,0.0,70950.875,81559.0,310.929,1980
1776363957.8365192,0,0.0,70950.875,81559.0,277.613,1980
1776363957.941804,0,0.0,70950.875,81559.0,246.346,1980
1776363958.049117,0,0.0,70950.875,81559.0,215.244,1980
1776363958.2101126,0,0.0,70950.875,81559.0,152.716,1980
1776363958.3114722,0,0.0,70950.875,81559.0,127.479,1980
1776363958.4176643,0,0.0,70950.875,81559.0,119.097,1980
1776363958.522204,0,0.0,70950.875,81559.0,118.42,1980
1776363958.677605,0,0.0,70950.875,81559.0,118.104,1980
1776363958.7780776,0,0.0,70950.875,81559.0,118.094,1980
1776363958.881315,0,0.0,70950.875,81559.0,118.1,1980
1776363958.981915,0,0.0,70950.875,81559.0,118.032,1980
1776363959.0822022,0,0.0,70950.875,81559.0,118.066,1980
1776363959.1829453,0,0.0,70950.875,81559.0,117.966,1980
1776363959.2832618,0,0.0,70950.875,81559.0,118.0,1980
1776363959.383834,0,0.0,70950.875,81559.0,117.879,1980
1776363959.484275,0,0.0,70950.875,81559.0,117.919,1980
1776363959.5905454,0,0.0,70950.875,81559.0,117.913,1980
1776363959.7219262,0,0.0,70950.875,81559.0,117.88,1980
1776363959.8266616,0,0.0,70950.875,81559.0,117.913,1980
1776363959.9271536,0,0.0,70950.875,81559.0,117.853,1980
1776363960.0324984,0,0.0,70950.875,81559.0,117.921,1980
1776363960.142363,0,0.0,70950.875,81559.0,117.831,1980
1776363960.2424989,0,0.0,70950.875,81559.0,117.884,1980
1776363960.342631,0,0.0,70950.875,81559.0,117.827,1980
1776363960.4427726,0,0.0,70950.875,81559.0,117.835,1980
1776363960.5429008,0,0.0,70950.875,81559.0,117.84,1980
1776363960.6430743,0,0.0,70950.875,81559.0,117.787,1980
1776363960.7432268,0,0.0,70950.875,81559.0,117.816,1980
1776363961.1660795,0,0.0,70950.875,81559.0,117.748,1980
1776363961.267077,0,0.0,70950.875,81559.0,117.722,1980
1776363961.367258,0,0.0,70950.875,81559.0,117.78,1980
1776363961.4673774,0,0.0,70950.875,81559.0,121.14,1980
1776363961.56757,0,0.0,70950.875,81559.0,149.345,1980
1776363961.6677225,0,100.0,70950.875,81559.0,179.951,1980
1776363961.7678676,0,100.0,70950.875,81559.0,211.284,1980
1776363961.8680155,0,100.0,70950.875,81559.0,242.324,1980
1776363961.9681516,0,100.0,70950.875,81559.0,273.402,1980
1776363962.0682855,0,100.0,70950.875,81559.0,304.623,1980
1776363962.1684184,0,100.0,70950.875,81559.0,335.759,1980
1776363962.268547,0,100.0,70950.875,81559.0,366.514,1980
1776363962.3686726,0,100.0,70950.875,81559.0,397.143,1980
1776363962.4688044,0,100.0,70950.875,81559.0,424.899,1980
1776363962.568949,0,100.0,70950.875,81559.0,428.073,1980
1776363962.6690824,0,100.0,70950.875,81559.0,428.29,1980
1776363962.7692134,0,100.0,70950.875,81559.0,428.426,1980
1776363962.8693452,0,100.0,70950.875,81559.0,428.422,1980
1776363962.9695117,0,100.0,70950.875,81559.0,428.501,1980
1776363963.0697765,0,100.0,70950.875,81559.0,428.165,1980
1776363963.169961,0,100.0,70950.875,81559.0,424.021,1980
1776363963.27023,0,79.0,70950.875,81559.0,421.736,1980
1776363963.3705666,0,79.0,70950.875,81559.0,420.936,1980
1776363963.4706936,0,100.0,70950.875,81559.0,420.727,1980
1776363963.5708127,0,100.0,70950.875,81559.0,420.493,1980
1776363963.6709304,0,100.0,70950.875,81559.0,420.453,1980
1776363963.7710505,0,100.0,70950.875,81559.0,420.308,1980
1776363963.8711977,0,100.0,70950.875,81559.0,420.44,1980
1776363963.9714444,0,100.0,70950.875,81559.0,420.576,1980
1776363964.0716677,0,100.0,70950.875,81559.0,421.182,1980
1776363964.1718988,0,100.0,70950.875,81559.0,424.996,1980
1776363964.272162,0,100.0,70950.875,81559.0,427.132,1980
1776363964.3723576,0,100.0,70950.875,81559.0,427.786,1980
1776363964.4725633,0,100.0,70950.875,81559.0,428.044,1980
1776363964.572719,0,100.0,70950.875,81559.0,428.381,1980
1776363964.6728506,0,100.0,70950.875,81559.0,428.252,1980
1776363964.7729874,0,100.0,70950.875,81559.0,428.526,1980
