request_id,timestamp,ttft_ms,tpot_ms,total_latency_ms,tokens_in,tokens_out,error
0,1776364787.9671612,296.3747978210449,8.749922429482767,2518.855094909668,173,255,
1,1776364787.9676206,280.18903732299805,8.755146987794891,2503.9963722229004,74,255,
2,1776364787.967736,216.77708625793457,8.876512564864813,2480.287790298462,119,256,
3,1776364787.967829,240.88144302368164,8.844599010437493,2487.4095916748047,83,255,
4,1776364787.9679227,229.8569679260254,8.846445644603056,2485.7006072998047,65,256,
5,1776364787.968109,250.6427764892578,8.823924177274929,2491.91951751709,47,255,
6,1776364787.968192,215.22283554077148,8.874334073534198,2478.178024291992,137,256,
7,1776364787.9682798,274.28245544433594,8.771771521080197,2502.312421798706,38,255,
8,1776364787.9683633,229.51388359069824,8.848191242592007,2485.80265045166,56,256,
9,1776364787.9684396,230.86071014404297,8.849352481318455,2487.445592880249,182,256,
10,1776364787.9685156,215.63053131103516,8.873942319084616,2478.4858226776123,20,256,
11,1776364787.9685857,216.27211570739746,8.881013533648323,2480.9305667877197,137,256,
12,1776364787.9686623,250.34403800964355,8.821731477271854,2491.0638332366943,38,255,
13,1776364787.9687345,215.9597873687744,8.878204869289025,2479.9020290374756,137,256,
14,1776364787.9688041,215.85702896118164,8.877366196875478,2479.5854091644287,47,256,
15,1776364787.9688714,229.17985916137695,8.850582908181583,2486.0785007476807,38,256,
16,1776364787.9689503,228.8949489593506,8.847305821437462,2484.9579334259033,65,256,
17,1776364787.9690197,249.79329109191895,8.824642248979703,2491.2524223327637,20,255,
18,1776364787.9690886,177.28376388549805,8.905425726198683,2448.167324066162,146,256,
19,1776364787.9691632,213.29498291015625,8.87129353541954,2475.4748344421387,146,256,
20,1776364787.9692385,197.2641944885254,8.874194762286018,2460.18385887146,38,256,
21,1776364787.9693103,239.7019863128662,8.844494819641113,2486.203670501709,128,255,
22,1776364787.9697773,289.4899845123291,8.727116847601463,2506.1776638031006,182,255,
23,1776364787.9698725,197.83973693847656,8.881915784349628,2462.728261947632,173,256,
24,1776364787.969961,261.7456912994385,8.794981663621316,2495.671033859253,83,255,
25,1776364787.970036,229.4299602508545,8.854759440702551,2487.393617630005,137,256,
26,1776364787.97011,239.22014236450195,8.849357056805468,2486.956834793091,119,255,
27,1776364787.9701812,176.2254238128662,8.907071281881894,2447.528600692749,92,256,
28,1776364787.970251,176.31268501281738,8.934381896374273,2454.580068588257,119,256,
29,1776364787.9703238,176.30982398986816,8.914393069697361,2449.4800567626953,65,256,
30,1776364787.970392,286.7624759674072,8.734440240334338,2505.310297012329,47,255,
31,1776364787.9704618,213.82546424865723,8.874429440965839,2476.8049716949463,83,256,
32,1776364787.970532,249.82905387878418,8.819225266223818,2489.912271499634,74,255,
33,1776364787.9706016,226.1369228363037,8.843473359650256,2481.222629547119,128,256,
34,1776364787.970674,213.6514186859131,8.875439213771447,2476.888418197632,146,256,
35,1776364787.9707456,174.4365692138672,8.9326493880328,2452.2621631622314,74,256,
36,1776364787.9708157,175.6305694580078,8.925544514375574,2451.6444206237793,146,256,
37,1776364787.9708831,269.63043212890625,8.778083042835625,2499.2635250091553,182,255,
38,1776364787.9710507,226.40681266784668,8.842285941628848,2481.189727783203,155,256,
39,1776364787.9711258,174.6070384979248,8.925123775706572,2450.5136013031006,164,256,
40,1776364787.971199,225.5861759185791,8.840715183931238,2479.968547821045,164,256,
41,1776364787.9712687,194.4422721862793,8.872482823390587,2456.925392150879,128,256,
42,1776364787.9713402,174.15595054626465,8.925152759925991,2450.0699043273926,11,256,
43,1776364787.971409,174.73173141479492,8.904156965367934,2445.291757583618,164,256,
44,1776364787.9714823,212.56756782531738,8.873553369559493,2475.3236770629883,29,256,
45,1776364787.9715517,174.78156089782715,8.924703037037569,2450.580835342407,92,256,
46,1776364787.9716275,173.9826202392578,8.932234259212718,2451.702356338501,164,256,
47,1776364787.9717019,194.61894035339355,8.873453327253753,2457.3495388031006,92,256,
48,1776364787.9717727,193.4664249420166,8.870245428646312,2455.379009246826,182,256,
49,1776364787.9718494,227.83231735229492,8.855505550608916,2485.9862327575684,128,256,
50,1776364787.971926,174.35979843139648,8.933560988482308,2452.4178504943848,164,256,
51,1776364787.9720008,194.60463523864746,8.874895993401022,2457.703113555908,38,256,
52,1776364787.9721477,279.25872802734375,8.74318757395106,2500.028371810913,110,255,
53,1776364787.9722266,212.77427673339844,8.883479062248679,2478.0614376068115,101,256,
54,1776364787.9723027,193.32170486450195,8.870821373135437,2455.381155014038,146,256,
55,1776364787.9723792,195.2376365661621,8.88050677729588,2459.7668647766113,155,256,
56,1776364787.9724493,173.78592491149902,8.933012158262963,2451.7040252685547,11,256,
57,1776364787.9725192,148.59414100646973,8.953502131443397,2431.737184524536,164,256,
58,1776364787.972588,194.7917938232422,8.878308651494045,2458.7604999542236,83,256,
59,1776364787.972658,173.1131076812744,8.903762405993891,2443.572521209717,119,256,
60,1776364787.9727333,247.20454216003418,8.814865209924893,2486.180305480957,164,255,
61,1776364787.9728053,236.42706871032715,8.848038245373823,2483.8287830352783,182,255,
62,1776364787.9728744,173.8274097442627,8.937258813895431,2452.8284072875977,38,256,
63,1776364787.972973,173.51102828979492,8.918091830085306,2447.624444961548,74,256,
64,1776364787.973042,291.30053520202637,8.74875943491778,2513.4854316711426,164,255,
65,1776364787.9731119,173.48980903625488,8.909250708187328,2445.3487396240234,92,256,
66,1776364787.9731812,234.56740379333496,8.845117148451918,2481.227159500122,29,255,
67,1776364787.973327,193.4034824371338,8.877259609745998,2457.1046829223633,128,256,
68,1776364787.9734602,173.0668544769287,8.90793519861558,2444.5903301239014,155,256,
69,1776364787.9735324,193.16744804382324,8.876444311702953,2456.660747528076,56,256,
70,1776364787.9736047,172.04833030700684,8.900974311080633,2441.7967796325684,83,256,
71,1776364787.9736786,235.5191707611084,8.846921244944175,2482.6371669769287,83,255,
72,1776364787.9737551,193.0372714996338,8.878470402137905,2457.0472240448,164,256,
73,1776364787.9738276,171.86784744262695,8.933590907676548,2449.9335289001465,119,256,
74,1776364787.9738982,233.34097862243652,8.840247402040978,2478.7638187408447,128,255,
75,1776364787.9740026,193.64690780639648,8.837088057983955,2128.969192504883,11,220,
76,1776364787.9740753,191.7400360107422,8.873731949750114,2454.5416831970215,128,256,
77,1776364787.9741514,171.41056060791016,8.898606954836378,2440.5553340911865,155,256,
78,1776364787.9742262,257.3881149291992,8.79454425000769,2491.2023544311523,38,255,
79,1776364787.974296,193.18628311157227,8.879310009526272,2457.4103355407715,110,256,
80,1776364787.9743707,210.39080619812012,8.880043029785156,2474.801778793335,74,256,
81,1776364787.9744437,223.57463836669922,8.849309472476735,2480.1485538482666,128,256,
82,1776364787.9746294,172.0407009124756,8.93573573991364,2450.653314590454,173,256,
83,1776364787.974717,172.02162742614746,8.918604196286669,2446.265697479248,146,256,
84,1776364787.9747992,207.69333839416504,8.872866163066789,2470.2742099761963,11,256,
85,1776364787.9748755,208.15348625183105,8.874090980080997,2471.0466861724854,74,256,
86,1776364787.9749606,191.67566299438477,8.875556085623947,2454.942464828491,11,256,
87,1776364787.9750416,209.6872329711914,8.879518508911133,2473.9644527435303,20,256,
88,1776364787.9751167,171.07319831848145,8.918045081344305,2445.1746940612793,38,256,
89,1776364787.975188,207.19027519226074,8.869652654610428,2468.95170211792,173,256,
90,1776364787.9752648,282.40275382995605,8.735158312039113,2501.1329650878906,146,255,
91,1776364787.975344,273.88906478881836,8.753328811465286,2497.234582901001,65,255,
92,1776364787.9754212,286.9389057159424,8.758659437885434,2511.638402938843,164,255,
93,1776364787.9755087,282.38415718078613,8.73043875055989,2499.915599822998,65,255,
94,1776364787.975581,263.93651962280273,8.778703494334785,2493.727207183838,11,255,
95,1776364787.9756541,273.3588218688965,8.75572707709365,2497.3134994506836,164,255,
96,1776364787.9757366,254.98104095458984,8.796782944146104,2489.3639087677,92,255,
97,1776364787.9759104,264.5411491394043,8.776449781703198,2493.7593936920166,164,255,
98,1776364787.9760003,241.9898509979248,8.824768028860017,2483.480930328369,47,255,
99,1776364787.9760785,251.85179710388184,8.805365074337937,2488.414525985718,47,255,
100,1776364787.9761553,2171.076774597168,8.746569550882175,4392.70544052124,47,255,
101,1776364787.9762332,2520.9038257598877,8.775282841102749,4758.600950241089,119,256,
102,1776364787.976312,2530.299186706543,8.766380010866651,4765.726089477539,146,256,
103,1776364787.9763849,2530.243158340454,8.773403541714538,4767.461061477661,137,256,
104,1776364787.9764574,2530.0583839416504,8.77841968162387,4768.555402755737,65,256,
105,1776364787.9765263,2530.0469398498535,8.780805737364526,4769.152402877808,83,256,
106,1776364787.9766011,2535.2938175201416,8.785919114655139,4775.703191757202,164,256,
107,1776364787.9766712,2535.482168197632,8.789807674931545,4776.883125305176,146,256,
108,1776364787.976745,2535.539388656616,8.793495215621649,4777.880668640137,164,256,
109,1776364787.9768114,2535.4881286621094,8.797566095987955,4778.867483139038,11,256,
110,1776364787.9768782,2535.2883338928223,8.803942624260397,4780.293703079224,137,256,
111,1776364787.976951,2535.1734161376953,8.80905039170209,4781.4812660217285,173,256,
112,1776364787.9770212,2535.245895385742,8.812911837708716,4782.538414001465,56,256,
113,1776364787.977187,2534.99174118042,8.815784080355774,4783.016681671143,146,256,
114,1776364787.9772635,2534.7108840942383,8.820061590157303,4783.826589584351,119,256,
115,1776364787.9773371,2534.9764823913574,8.822204552444758,4784.6386432647705,83,256,
116,1776364787.977412,2534.7917079925537,8.825383466832777,4785.264492034912,83,256,
117,1776364787.9774818,2565.8395290374756,8.76613130756453,4801.203012466431,29,256,
118,1776364787.977556,2565.462112426758,8.769715066049613,4801.739454269409,74,256,
119,1776364787.9776278,2579.2131423950195,8.803573309206495,4824.124336242676,101,256,
120,1776364787.9776967,2579.320192337036,8.804871989231483,4824.562549591064,83,256,
121,1776364787.9777687,2579.3418884277344,8.806540919285194,4825.009822845459,92,256,
122,1776364787.9778454,2579.453229904175,8.808586644191369,4825.642824172974,101,256,
123,1776364787.977914,2579.709529876709,8.816173029880897,4827.833652496338,74,256,
124,1776364787.9779878,2579.774856567383,8.823218065149645,4829.695463180542,11,256,
125,1776364787.978056,2579.740047454834,8.823837018480488,4829.818487167358,101,256,
126,1776364787.9781294,2578.481912612915,8.787350561104569,4819.25630569458,83,256,
127,1776364787.978198,2578.5093307495117,8.797361336502375,4821.836471557617,101,256,
128,1776364787.9782648,2578.5627365112305,8.769906735887714,4814.888954162598,83,256,
129,1776364787.97842,2578.5655975341797,8.7493382248224,4809.646844863892,65,256,
