tenant,request_id,submit_time,ttft_ms,total_latency_ms,tokens_out,error
quiet_2,77,1776632434.8186107,62.763214111328125,761.1360549926758,60,
quiet_2,224,1776632582.4993043,39.330244064331055,753.525972366333,64,
quiet_2,1,1776632359.5094306,2372.887134552002,6125.411748886108,61,
quiet_2,41,1776632390.7127395,42.65308380126953,770.6441879272461,64,
quiet_2,66,1776632425.4184813,48.8433837890625,761.5315914154053,63,
quiet_2,119,1776632480.9751313,47.33586311340332,761.1923217773438,56,
quiet_2,269,1776632632.4136786,44.7993278503418,756.920576095581,62,
quiet_2,294,1776632656.8434985,36.10348701477051,766.8557167053223,64,
quiet_2,223,1776632581.1017354,41.53943061828613,764.0171051025391,64,
quiet_2,19,1776632373.1742175,35.5072021484375,755.5992603302002,64,
quiet_2,49,1776632401.8557422,33.39385986328125,755.3372383117676,63,
quiet_2,97,1776632456.0378873,43.68257522583008,754.9333572387695,63,
quiet_2,159,1776632522.9428813,59.05771255493164,777.6198387145996,60,
quiet_2,23,1776632376.741344,34.27457809448242,755.1283836364746,63,
quiet_2,178,1776632539.7289395,36.69452667236328,763.1728649139404,63,
quiet_2,267,1776632629.366303,36.72456741333008,758.9221000671387,64,
quiet_2,105,1776632467.7453995,36.685943603515625,769.0250873565674,64,
quiet_2,201,1776632561.30678,49.06511306762695,763.1149291992188,63,
quiet_2,30,1776632379.9719996,36.29946708679199,775.6137847900391,64,
quiet_2,116,1776632476.8247373,47.47462272644043,759.1969966888428,58,
quiet_2,238,1776632600.716692,40.07911682128906,765.7709121704102,64,
quiet_2,263,1776632624.773646,35.94088554382324,763.9923095703125,63,
quiet_2,183,1776632543.9658673,35.249948501586914,763.1490230560303,58,
quiet_2,242,1776632602.4874752,34.35540199279785,761.4219188690186,64,
quiet_2,53,1776632404.0126135,36.89408302307129,757.9591274261475,64,
quiet_2,110,1776632471.219709,49.7431755065918,759.627103805542,60,
quiet_2,185,1776632547.0263844,46.57125473022461,750.6065368652344,62,
quiet_2,235,1776632595.6087189,36.09442710876465,764.8873329162598,64,
quiet_2,107,1776632470.0040286,34.395694732666016,758.3234310150146,64,
quiet_2,109,1776632471.1744528,48.0496883392334,759.2132091522217,62,
quiet_2,179,1776632540.0335221,44.08717155456543,766.3514614105225,64,
quiet_2,196,1776632556.8485951,41.910648345947266,769.24729347229,64,
quiet_2,205,1776632563.6103013,39.522647857666016,749.964714050293,64,
quiet_2,278,1776632642.939947,42.49691963195801,755.9719085693359,63,
