tenant,request_id,submit_time,ttft_ms,total_latency_ms,tokens_out,http_status,is_oom,error
chat,1316,1776632632.629762,48.39777946472168,756.9739818572998,62,200,False,
chat,288,1776632419.5541847,36.283016204833984,755.8572292327881,64,200,False,
chat,281,1776632418.6523194,34.471750259399414,754.9862861633301,64,200,False,
chat,230,1776632409.192345,91.11261367797852,1944.9048042297363,64,200,False,
chat,1328,1776632634.2488134,32.897233963012695,750.2751350402832,60,200,False,
chat,270,1776632416.861587,37.679195404052734,756.9770812988281,64,200,False,
chat,1314,1776632632.3765402,36.4985466003418,759.1948509216309,59,200,False,
chat,277,1776632418.1060193,29.936790466308594,751.5363693237305,64,200,False,
chat,1336,1776632635.3931966,38.663625717163086,761.2617015838623,64,200,False,
chat,1301,1776632630.506607,32.60493278503418,755.9709548950195,63,200,False,
chat,1326,1776632633.9148152,40.767669677734375,756.4589977264404,64,200,False,
chat,1321,1776632633.5479288,41.58806800842285,745.3584671020508,62,200,False,
chat,271,1776632416.9605978,32.32073783874512,747.5032806396484,64,200,False,
chat,1317,1776632632.8355215,40.51566123962402,754.1310787200928,64,200,False,
chat,1319,1776632633.3664596,42.572021484375,758.4691047668457,58,200,False,
chat,1315,1776632632.4301128,29.024600982666016,751.2567043304443,63,200,False,
chat,1340,1776632635.950797,32.73653984069824,754.3902397155762,61,200,False,
chat,144,1776632392.5545793,98.2673168182373,2166.1536693573,64,200,False,
chat,165,1776632396.6138225,67.21305847167969,1920.508861541748,62,200,False,
chat,145,1776632392.5708258,82.46588706970215,2150.9904861450195,64,200,False,
chat,1349,1776632638.2070036,32.514095306396484,744.1487312316895,64,200,False,
chat,1338,1776632635.7188559,47.240257263183594,762.3119354248047,60,200,False,
chat,166,1776632396.6492114,96.21286392211914,1945.7361698150635,63,200,False,
chat,1355,1776632639.1135623,30.159711837768555,758.3262920379639,63,200,False,
chat,161,1776632396.0352805,93.34444999694824,1943.0272579193115,64,200,False,
chat,162,1776632396.0550342,73.66681098937988,1923.4614372253418,64,200,False,
chat,1329,1776632634.3494272,34.82842445373535,750.4773139953613,64,200,False,
chat,1352,1776632638.8245504,41.29672050476074,756.8764686584473,64,200,False,
chat,164,1776632396.4103599,97.35751152038574,1954.9996852874756,63,200,False,
chat,1344,1776632636.496459,36.61704063415527,750.7755756378174,63,200,False,
chat,1372,1776632642.057856,43.361663818359375,757.0078372955322,64,200,False,
chat,1308,1776632631.335439,30.30228614807129,750.795841217041,64,200,False,
chat,231,1776632409.314844,90.12126922607422,1940.4911994934082,61,200,False,
chat,1366,1776632640.762366,33.69760513305664,748.7039566040039,62,200,False,
chat,167,1776632396.8100858,87.20660209655762,1932.065725326538,64,200,False,
chat,163,1776632396.409158,98.82330894470215,1956.8359851837158,64,200,False,
chat,1309,1776632631.3408751,47.96600341796875,756.2747001647949,57,200,False,
chat,1330,1776632634.4360375,29.184579849243164,746.2341785430908,64,200,False,
chat,1347,1776632637.3285637,28.633832931518555,738.6431694030762,64,200,False,
chat,1371,1776632641.856964,50.73046684265137,754.3785572052002,59,200,False,
chat,1332,1776632635.1320267,36.44299507141113,759.2880725860596,61,200,False,
chat,1318,1776632632.9369168,51.447153091430664,758.296012878418,59,200,False,
chat,1367,1776632641.1594522,45.85003852844238,760.0886821746826,64,200,False,
chat,1320,1776632633.5462542,34.31439399719238,747.2288608551025,64,200,False,
chat,1370,1776632641.6227624,35.12382507324219,754.2610168457031,60,200,False,
chat,1342,1776632636.3503854,32.13763236999512,751.8641948699951,64,200,False,
chat,1360,1776632639.9469447,42.94133186340332,747.2167015075684,63,200,False,
chat,169,1776632396.9915853,110.33368110656738,1925.0659942626953,63,200,False,
chat,1368,1776632641.2753785,32.12332725524902,745.8534240722656,64,200,False,
chat,1339,1776632635.8165076,40.57145118713379,764.3866539001465,63,200,False,
chat,278,1776632418.147136,34.24644470214844,756.3190460205078,62,200,False,
chat,1345,1776632636.6907167,35.650014877319336,745.628833770752,64,200,False,
chat,262,1776632414.7958117,70.96385955810547,1632.8885555267334,64,200,False,
chat,1327,1776632634.0662875,46.56720161437988,751.3723373413086,58,200,False,
chat,1325,1776632633.8534803,32.86862373352051,747.8609085083008,64,200,False,
chat,170,1776632397.1503534,99.7321605682373,1912.2986793518066,57,200,False,
chat,1350,1776632638.4396534,34.914493560791016,751.716136932373,64,200,False,
chat,1363,1776632640.548315,31.128406524658203,748.0227947235107,64,200,False,
chat,1346,1776632637.2984545,36.47804260253906,743.0899143218994,64,200,False,
chat,1348,1776632637.9942257,47.37567901611328,742.2950267791748,59,200,False,
chat,1324,1776632633.8094275,30.588388442993164,746.5004920959473,61,200,False,
chat,172,1776632397.4389808,85.97183227539062,1913.5546684265137,64,200,False,
chat,178,1776632399.4517078,104.31408882141113,1895.395040512085,62,200,False,
chat,175,1776632398.2022796,69.52047348022461,1901.521921157837,64,200,False,
chat,176,1776632398.2909448,106.0028076171875,1901.3559818267822,58,200,False,
chat,1358,1776632639.477928,34.24787521362305,749.9039173126221,64,200,False,
chat,1337,1776632635.5369518,37.99176216125488,755.183219909668,64,200,False,
chat,1359,1776632639.6483333,46.13447189331055,748.6920356750488,58,200,False,
chat,269,1776632416.7460983,39.29924964904785,759.4194412231445,63,200,False,
chat,1335,1776632635.299471,53.12371253967285,768.4652805328369,63,200,False,
chat,1351,1776632638.688505,37.01329231262207,754.6813488006592,64,200,False,
chat,1356,1776632639.150997,41.00632667541504,760.8675956726074,64,200,False,
chat,1331,1776632634.6287868,42.441606521606445,757.1837902069092,63,200,False,
chat,1354,1776632639.061838,36.438941955566406,759.0296268463135,64,200,False,
chat,1334,1776632635.2264035,39.6885871887207,756.8464279174805,64,200,False,
chat,174,1776632397.9727767,129.21524047851562,1925.9097576141357,62,200,False,
chat,1341,1776632636.1879628,35.31026840209961,754.9600601196289,63,200,False,
chat,1343,1776632636.4190078,50.633907318115234,749.8214244842529,63,200,False,
chat,1361,1776632640.1040237,32.89628028869629,749.7522830963135,64,200,False,
chat,1353,1776632638.9920053,38.596391677856445,760.2155208587646,64,200,False,
chat,1357,1776632639.318269,33.65683555603027,751.5609264373779,64,200,False,
chat,177,1776632398.7228682,83.9385986328125,1905.2255153656006,64,200,False,
chat,1362,1776632640.3896434,29.544830322265625,748.0206489562988,64,200,False,
chat,1333,1776632635.150549,41.14484786987305,763.0579471588135,64,200,False,
chat,1369,1776632641.5746484,37.95623779296875,754.0810108184814,64,200,False,
chat,133,1776632389.9386637,2664.1221046447754,4745.192289352417,60,200,False,
chat,533,1776632475.764722,81.93278312683105,1917.8144931793213,64,200,False,
chat,650,1776632497.5191364,68.27735900878906,1910.7227325439453,64,200,False,
chat,1452,1776632656.4451005,48.34699630737305,750.0500679016113,58,200,False,
chat,0,1776632364.3001614,394.12593841552734,3888.3979320526123,64,200,False,
chat,218,1776632406.3161452,113.83652687072754,1955.054759979248,59,200,False,
chat,511,1776632469.373204,141.33572578430176,1912.5235080718994,61,200,False,
chat,64,1776632376.2864401,97.41353988647461,1913.712501525879,64,200,False,
chat,130,1776632389.5945551,92.52285957336426,4723.594665527344,63,200,False,
chat,652,1776632498.1030524,65.65165519714355,1926.4934062957764,63,200,False,
chat,79,1776632380.2260318,100.00753402709961,1364.2847537994385,60,200,False,
chat,1476,1776632662.0984313,36.287546157836914,754.9057006835938,64,200,False,
chat,38,1776632370.1790252,35.18033027648926,749.5620250701904,64,200,False,
chat,638,1776632495.575795,101.76968574523926,1982.4559688568115,59,200,False,
chat,1441,1776632654.9387999,45.29547691345215,755.4564476013184,64,200,False,
chat,2,1776632364.3620813,334.40136909484863,3838.4275436401367,64,200,False,
